순번,입력타입,입력주소,정제결과,전환결과,우편번호,X-좌표,Y-좌표,사용자필드
231,지번,"강원	삼척	노곡	고자	산66",강원도 삼척시 노곡면 고자리 산66,,25940,129.162959,37.3662652,
232,지번,"충북	청주	문의	마동	산51-1",충청북도 청주시 상당구 문의면 마동리 산51-1,,28210,127.558447,36.4977123,
233,지번,"경남	사천	곤명	금성	산24-4",경상남도 사천시 곤명면 금성리 산24-4,,52501,127.96945,35.152214,
234,지번,"전남	장성	진원	선적	산48-14",전라남도 장성군 진원면 선적리 산48-14,"전라남도 장성군 진원면 선동길 102, (선적리)",57244,126.825233,35.2879996,
235,지번,"경남	함양	안의	하원	산26",경상남도 함양군 안의면 하원리 산26,,50005,127.805704,35.6762659,
236,지번,"경북	포항	대송	대각	산79",경상북도 포항시 남구 대송면 대각리 산79,,37858,129.357176,35.9489219,
237,지번,"경북	문경	가은	원북	산1-1",경상북도 문경시 가은읍 원북리 산1-1,"경상북도 문경시 가은읍 원북길 313, (원북리)",36993,128.010256,36.7145336,
238,지번,"울산	울주	온산	이진	산66-5",울산광역시 울주군 온산읍 이진리 산66-5,,44996,129.355559,35.4316546,
239,지번,"경북	경주	서	천촌	산7,8",경상북도 경주시 서면 천촌리 산7,,38053,129.034211,35.8760583,
240,지번,"강원	인제	인제	합강	산18-1",강원도 인제군 인제읍 합강리 산18-1,,24626,128.165314,38.0973079,
241,지번,"전남	구례	광의	방광	산79",전라남도 구례군 광의면 방광리 산79,,57610,127.464749,35.2676549,
242,지번,"경기	시흥	조남		산77-1(임)",경기도 시흥시 조남동 산77-1 (임),"경기도 시흥시 새미길 19-5, (임), (조남동)",14987,126.862423,37.375517,
243,지번,"경북	포항	장기	산서	산522",경상북도 포항시 남구 장기면 산서리 산522,,37944,129.442426,35.8968976,
244,지번,"경기	김포	월곶	고양	산40",경기도 김포시 월곶면 고양리 산40,"경기도 김포시 월곶면 대곶로487번길 60, (고양리)",10025,126.551687,37.6861345,
245,지번,"강원	횡성	횡성	정암	산64 외 5필",강원도 횡성군 횡성읍 정암리 산64 외 5필,,25243,128.041068,37.4571527,
246,지번,"강원	강릉	구정	금광	산40-1",강원도 강릉시 구정면 금광리 산40-1,,25624,128.91722,37.6977687,
247,지번,"경북	청송	현서	월정	산26",경상북도 청송군 현서면 월정리 산26,,37464,128.923428,36.2095463,
248,지번,"경남	김해	생림	도요	688-28",경상남도 김해시 생림면 도요리 688-28,,50800,128.846175,35.3834087,
249,지번,"경기	포천	일동	기산	산30",경기도 포천시 일동면 기산리 산30,"경기도 포천시 일동면 금강로 4525, (기산리)",11120,127.305436,37.9639926,
250,지번,"경기	연천	백학	통구	116",경기도 연천군 백학면 통구리 116,,11049,126.922992,38.013487,
251,지번,"강원	인제	인제	가아	산1",강원도 인제군 인제읍 가아리 산1,"강원도 인제군 인제읍 갑박골길 11, (가아리)",24623,128.129888,38.1613264,
252,지번,"세종	부강	문곡		산175",세종특별자치시   부강면 문곡리 산175,,30073,127.381641,36.5250897,
253,지번,"전북	김제	금산	금성	산7",전라북도 김제시 금산면 금성리 산7,,54344,127.043077,35.6899586,
254,지번,"전남	진도	조도	외병도	산 1,2",전라남도 진도군 조도면 외병도리 산1,,58955,125.936449,34.3758892,
255,지번,"전북	완주	경천	가천	산51",전라북도 완주군 경천면 가천리 산51,,55302,127.274928,36.0386444,
256,지번,"경북	포항	연일	우복	산200",경상북도 포항시 남구 연일읍 우복리 산200,,37855,129.332362,35.9781935,
257,지번,"충남	서산	혜미	황락	산16-2",충청남도 서산시 해미면 황락리 산16-2,,31961,126.572863,36.7220654,
258,지번,"강원	화천	화천	동촌	산224",강원도 화천군 화천읍 동촌리 산224,,24110,127.814732,38.1250592,
259,지번,"충북	제천	덕산	월악	산1-1",충청북도 제천시 덕산면 월악리 산1-1,,27225,128.13793,36.8506774,
260,지번,"경남	창녕	장마	신구	산129",경상남도 창녕군 장마면 신구리 산129,,50336,128.460224,35.4714814,
261,지번,"전남	구례	간전	효곡	산143-1",전라남도 구례군 간전면 효곡리 산143-1,,57629,127.532034,35.1417415,
262,지번,"강원	강릉	옥계	남양	산75외1",강원도 강릉시 옥계면 남양리 산75 외1,,25646,129.017756,37.5803794,
263,지번,"강원	홍천	남	신대	산247",강원도 홍천군 남면 신대리 산247,,25109,127.798712,37.5990028,
264,지번,"대구	달성	옥포	기세	산177",대구광역시 달성군 옥포읍 기세리 산177,,42977,128.488204,35.7611329,
265,지번,"울산	동		미포동	산130-7",울산광역시 동구 미포동 산130-7,,44015,129.44384,35.5360153,
266,지번,"경북	울진	기성	방율	산50",경상북도 울진군 기성면 방율리 산50,,36350,129.39216,36.8220108,
267,지번,"전남	광양		황길동	산12",전라남도 광양시 황길동 산12,,57769,127.651478,34.9317485,
268,지번,"경북	경산	남산	연하	산95-2",경상북도 경산시 남산면 연하리 산95-2,,38572,128.818357,35.7579766,
269,지번,"전북	완주	소양	해월	산48",전라북도 완주군 소양면 해월리 산48,,55347,127.260328,35.8864589,
270,지번,"울산	북	천곡		산139",울산광역시 북구 천곡동 산139,,44200,129.330576,35.6442023,
271,지번,"전북	정읍	태인	증산	산40",전라북도 정읍시 태인면 증산리 산40,,56113,126.952121,35.6895951,
272,지번,"전남	장성	삼계	능성	산115-1",전라남도 장성군 삼계면 능성리 산115-1,,57239,126.702301,35.2697854,
273,지번,"강원	철원	원남	주파	",강원도 철원군 원남면 주파리 산53,,24066,127.669002,38.2782713,
274,지번,"경북	포항	흥해	금장	산101-1",경상북도 포항시 북구 흥해읍 금장리 산101-1,,37530,129.366803,36.1412184,
275,지번,"전남	장흥	안양	학송	산50",전라남도 장흥군 안양면 학송리 산50,,59339,127.005661,34.6609014,
276,지번,"경남	김해	동상		산3-3",경상남도 김해시 동상동 산3-3,,50832,128.890365,35.2495964,
277,지번,"경북	칠곡	동명	송산	산6",경상북도 칠곡군 동명면 송산리 산6,,39860,128.540237,35.9993534,
278,지번,"경북	칠곡	석적	포남	산65",경상북도 칠곡군 석적읍 포남리 산65,,39848,128.413846,36.0476867,
279,지번,"전남	나주	다시	가운	산92-1",전라남도 나주시 다시면 가운리 산92-1,"전라남도 나주시 다시면 문암길 31-1, (가운리, 제주양씨 효열각)",58279,126.663434,35.0187559,
280,지번,"전남	화순	춘양	우봉	산105",전라남도 화순군 춘양면 우봉리 산105,,58147,126.977388,34.9455905,
281,지번,"경북	문경	가은	수예	산111",경상북도 문경시 가은읍 수예리 산111,,36998,128.058656,36.5913497,
282,지번,"전남	나주	문평	국동	산110",전라남도 나주시 문평면 국동리 산110,,58202,126.664038,35.0716678,
283,지번,"충북	진천	백곡	대문	산5-1",충청북도 진천군 백곡면 대문리 산5-1,,27824,127.33525,36.8747813,
284,지번,"대전	유성	도룡		산22-1",대전광역시 유성구 도룡동 산22-1,"대전광역시 유성구 문지로 23, (도룡동, 노인정)",34055,127.378158,36.3915408,
285,지번,"경남	남해	서	정포	",경상남도 남해군 서면 정포리 산48,,52406,127.846502,34.882398,
286,지번,"강원	양구	방산	고방산	산1",강원도 양구군 방산면 고방산리 산1,,24501,127.95508,38.2576829,
287,지번,"전북	무주	설천	삼곡	산3",전라북도 무주군 설천면 심곡리 산3,,55555,127.768933,35.9292745,
